00-Cfg,00-Index,01-Date,02-Open,03-Low,04-High,05-Close,06-Buy,07-Sell,08-Profit,09-Actual,10-Prediction,11-Pred_Result,12-Deal
,, 2016/07/22,2175.98,2154.36,2177.44,2157.23,0.0,0.0,0.0,2167.51,2170.05322265625,,
,, 2016/07/25,2155.32,2152.09,2167.51,2159.55,0.0,0.0,0.0,2183.06,2172.069580078125,,
,, 2016/07/26,2156.81,2156.77,2183.06,2182.5,0.0,0.0,0.0,2186.08,2195.058349609375,,
,, 2016/07/27,2182.72,2125.27,2186.08,2173.97,0.0,0.0,0.0,2173.08,2183.4228515625,,
,, 2016/07/28,2160.16,2153.89,2173.08,2163.81,0.0,0.0,0.0,2166.85,2181.722412109375,,
,, 2016/07/29,2163.64,2151.93,2166.85,2155.24,0.0,0.0,0.0,2155.79,2169.733154296875,,
,, 2016/08/01,2151.54,2136.11,2155.79,2147.56,0.0,0.0,0.0,2151.29,2162.69775390625,,
,, 2016/08/02,2145.82,2138.19,2151.29,2148.45,0.0,0.0,0.0,2149.9,2160.352294921875,,
,, 2016/08/03,2140.15,2136.6,2149.9,2145.79,0.0,0.0,0.0,2146.6,2158.509765625,,
,, 2016/08/04,2145.66,2130.17,2146.6,2143.84,0.0,0.0,0.0,2159.14,2152.87060546875,,
,, 2016/08/05,2142.33,2137.31,2159.14,2148.68,0.0,0.0,0.0,2159.95,2158.71630859375,,
,, 2016/08/08,2147.7,2137.52,2159.95,2159.67,0.0,0.0,0.0,2176.7,2168.67333984375,,
,, 2016/08/09,2159.31,2157.76,2176.7,2175.35,0.0,0.0,0.0,2179.61,2188.07177734375,,
,, 2016/08/10,2175.13,2169.13,2179.61,2170.1,0.0,0.0,0.0,2205.88,2181.958984375,,
,, 2016/08/11,2168.13,2168.13,2205.88,2177.06,0.0,0.0,0.0,2222.69,2195.812744140625,,
,, 2016/08/12,2177.8,2175.85,2222.69,2222.49,0.0,0.0,0.0,2310.28,2244.26416015625,,
,, 2016/08/15,2227.08,2225.62,2310.28,2287.66,0.0,0.0,0.0,2302.33,2330.3330078125,,
,, 2016/08/16,2293.81,2253.41,2302.33,2257.7,0.0,0.0,0.0,2270.37,2293.7255859375,,
,, 2016/08/17,2260.93,2241.94,2270.37,2253.74,0.0,0.0,0.0,2274.45,2268.470947265625,,
,, 2016/08/18,2253.12,2235.05,2274.45,2244.72,0.0,0.0,0.0,2254.49,2272.43212890625,,
,, 2016/08/19,2241.67,2230.33,2254.49,2249.34,0.0,0.0,0.0,2253.59,2271.43115234375,,
,, 2016/08/22,2249.08,2235.01,2253.59,2237.13,0.0,0.0,0.0,2256.33,2255.49267578125,,
,, 2016/08/23,2235.39,2232.44,2256.33,2241.95,0.0,0.0,0.0,2244.88,2259.703369140625,,
,, 2016/08/24,2242.91,2227.56,2244.88,2232.21,0.0,0.0,0.0,2226.0,2246.7314453125,,
,, 2016/08/25,2224.51,2205.01,2226.0,2222.15,0.0,0.0,0.0,2232.29,2236.077880859375,,
,, 2016/08/26,2223.31,2215.63,2232.29,2219.31,0.0,0.0,0.0,2220.13,2234.12841796875,,
,, 2016/08/29,2219.02,2205.12,2220.13,2214.26,0.0,0.0,0.0,2229.83,2229.880126953125,,
,, 2016/08/30,2215.84,2215.69,2229.83,2224.06,0.0,0.0,0.0,2237.66,2239.58642578125,,
,, 2016/08/31,2222.02,2218.65,2237.66,2232.71,0.0,0.0,0.0,2235.65,2246.582763671875,,
,, 2016/09/01,2230.36,2219.25,2235.65,2220.4,0.0,0.0,0.0,2231.46,2235.216796875,,
,, 2016/09/02,2216.29,2215.64,2231.46,2229.89,0.0,0.0,0.0,2240.49,2245.127197265625,,
,, 2016/09/05,2230.41,2224.93,2240.49,2228.72,0.0,0.0,0.0,2241.52,2242.931396484375,,
,, 2016/09/06,2227.44,2217.48,2241.52,2232.45,0.0,0.0,0.0,2246.37,2247.47412109375,,
,, 2016/09/07,2233.03,2230.58,2246.37,2236.55,0.0,0.0,0.0,2239.17,2252.981689453125,,
,, 2016/09/08,2234.95,2230.82,2239.17,2236.63,0.0,0.0,0.0,2241.61,2248.14208984375,,
,, 2016/09/09,2236.39,2228.66,2241.61,2229.31,0.0,0.0,0.0,2202.9,2243.3095703125,,
,, 2016/09/12,2201.68,2175.33,2202.9,2199.98,0.0,0.0,0.0,2199.24,2212.109130859375,,
,, 2016/09/13,2197.38,2185.82,2199.24,2193.19,0.0,0.0,0.0,2187.95,2204.505126953125,,
,, 2016/09/14,2184.11,2172.4,2187.95,2176.52,0.0,0.0,0.0,2191.22,2190.78857421875,,
,, 2016/09/19,2178.76,2178.76,2191.22,2189.46,0.0,0.0,0.0,2190.72,2202.266845703125,,
,, 2016/09/20,2190.1,2181.02,2190.72,2184.21,0.0,0.0,0.0,2191.81,2195.79443359375,,
,, 2016/09/21,2184.42,2180.5,2191.81,2187.15,0.0,0.0,0.0,2210.79,2198.736083984375,,
,, 2016/09/22,2195.25,2192.49,2210.79,2200.7,0.0,0.0,0.0,2203.66,2213.22705078125,,
,, 2016/09/23,2202.7,2195.08,2203.66,2196.29,0.0,0.0,0.0,2190.39,2207.19482421875,,
,, 2016/09/26,2190.39,2166.82,2190.39,2167.26,0.0,0.0,0.0,2176.77,2178.998046875,,
,, 2016/09/27,2163.38,2162.44,2176.77,2176.45,0.0,0.0,0.0,2177.41,2187.04052734375,,
,, 2016/09/28,2177.41,2165.33,2177.41,2166.72,0.0,0.0,0.0,2183.17,2176.0205078125,,
,, 2016/09/29,2170.99,2170.84,2183.17,2175.37,0.0,0.0,0.0,2182.61,2186.29541015625,,
,, 2016/09/30,2171.94,2171.49,2182.61,2177.35,0.0,0.0,0.0,2204.33,2187.179931640625,,
,, 2016/10/10,2187.65,2185.47,2204.33,2202.87,0.0,0.0,0.0,2212.43,2214.709716796875,,
,, 2016/10/11,2205.35,2202.12,2212.43,2209.23,0.0,0.0,0.0,2205.44,2223.34521484375,,
,, 2016/10/12,2205.44,2196.85,2205.44,2201.0,0.0,0.0,0.0,2204.89,2211.2724609375,,
,, 2016/10/13,2201.34,2194.6,2204.89,2202.12,0.0,0.0,0.0,2211.09,2214.292236328125,,
,, 2016/10/14,2199.56,2196.26,2211.09,2209.81,0.0,0.0,0.0,2209.14,2224.55419921875,,
,, 2016/10/17,2207.35,2189.27,2209.14,2192.88,0.0,0.0,0.0,2224.34,2206.03369140625,,
