index_code,date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y1
,min,999300,459500,1,4,3881300,118300,9200,325500,1,0.1,0.2,0.2,13,11534000,540016600,207618000,274726900,29980
,max,103081300,15010000,4,201,3881400,3289500,67000,3592700,3,16,9,5.5,10100,21073232000,21073232000,6.74182E+11,6.74249E+11,389570700
