volume,volume_size,volume_used_size,fs_type,file_count,total_memory,free_memory,shared_memory,cached_memory,cpu_count,average_cpu_usage_on_previous_one_minute,average_cpu_usage_on_previous_five_minute,average_cpu_usage_on_previous_fifteen_minute,num_extents,num_bytes_read,num_bytes_write,square_sum_head_move,square_sum_read,backup_elapsed_time
/lvm/fsa-10G-ext4,10190100,5583764,3,100,3881340,2961820,9304,756340,2,1.24,2.5,2.7,14,11534336,6128926720,207618048,274726912,43352
/lvm/fsa-1G-ext3,999320,739864,2,5,3881340,2957064,9304,759576,2,1.22,2.48,2.69,443,911212544,911212544,28997320704,29064429568,10374835
/lvm/fsa-1G-ext3,999320,739864,2,5,3881340,2958664,9316,760916,2,1.19,2.43,2.67,14,11534336,911212544,207618048,274726912,36613
/lvm/fsa-1G-ext4,999320,645524,3,9,3881340,2956112,9304,760744,2,1.17,2.41,2.66,359,735051776,735051776,23360176128,23427284992,10056407
/lvm/fsa-1G-ext4,999320,645524,3,9,3881340,2957004,9316,761616,2,1.14,2.34,2.64,14,11534336,735051776,207618048,274726912,56346
/lvm/fsa-20G-ext3,20511356,10275256,2,194,3881340,2955224,9304,761868,2,1.14,2.34,2.64,6140,12858687488,12858687488,4.11317E+11,4.11384E+11,138046418
/lvm/fsa-20G-ext3,20511356,10275256,2,194,3881340,2958116,9304,760116,2,1.02,1.83,2.41,14,11534336,12858687488,207618048,274726912,64755
/lvm/fsa-20G-ext4,20511312,10190252,3,189,3881340,2952864,9316,762420,2,1.02,1.83,2.41,5249,10990125056,10990125056,3.51523E+11,3.5159E+11,117969519
/lvm/fsa-20G-ext4,20511312,10190252,3,189,3881340,2953192,9304,761040,2,0.92,1.51,2.21,14,11534336,10990125056,207618048,274726912,37401
/lvm/fsa-2G-ext3,1998672,1205804,2,24,3881340,2943320,17496,771744,2,0.92,1.5,2.21,730,1513095168,1513095168,48257564672,48324673536,19395316
/lvm/fsa-2G-ext3,1998672,1205804,2,24,3881340,2943752,17496,773120,2,0.88,1.45,2.18,14,11534336,1513095168,207618048,274726912,36116
/lvm/fsa-2G-ext4,1998672,1380868,3,20,3881340,2941816,17508,773288,2,0.81,1.43,2.16,752,1559232512,1559232512,49733959680,49801068544,21540312
/lvm/fsa-2G-ext4,1998672,1380868,3,20,3881340,2939832,17496,774200,2,0.95,1.41,2.14,14,11534336,1559232512,207618048,274726912,37245
/lvm/fsa-50G-ext3,51475068,4795284,2,97,3881340,2937764,17496,774420,2,0.95,1.41,2.14,3633,7601127424,7601127424,2.43075E+11,2.43142E+11,70080069
/lvm/fsa-50G-ext3,51475068,4795284,2,97,3881340,2942232,17500,772640,2,0.89,1.29,2.04,14,11534336,7601127424,207618048,274726912,66550
/lvm/fsa-50G-ext4,51474912,9911592,3,200,3881340,2936788,17508,775540,2,0.82,1.27,2.03,5370,11243880448,11243880448,3.59643E+11,3.5971E+11,101109982
/lvm/fsa-50G-ext4,51474912,9911592,3,200,3881340,2941644,17496,773908,2,1,1.2,1.92,14,11534336,11243880448,207618048,274726912,36128
/lvm/fsa-5G-ext3,5029504,2876776,2,53,3881340,2937196,17508,776632,2,0.92,1.18,1.91,1782,3719299072,3719299072,1.18856E+11,1.18923E+11,31191035
/lvm/fsa-5G-ext3,5029504,2876776,2,53,3881340,2940612,17508,774700,2,0.96,1.16,1.88,14,11534336,3719299072,207618048,274726912,35787
/lvm/fsa-5G-ext4,5029504,2853752,3,49,3881340,2935628,17496,777688,2,0.96,1.16,1.87,1536,3203399680,3203399680,1.02347E+11,1.02414E+11,37415667
