index,date,open,low,high,close,open,low,high,close,vol,y-1day_high
, 2004/02/11,1121.81,1100.24,1123.77,1110.06,1121.81,1100.24,1123.77,1110.06,9246320,1122.48
, 2004/02/12,1110.83,1092.29,1122.48,1094.11,1110.83,1092.29,1122.48,1094.11,9581597,1105.82
, 2004/02/13,1094,1088.86,1105.82,1096.36,1094,1088.86,1105.82,1096.36,6904821,1124.35
, 2004/02/16,1098.86,1098.86,1124.35,1123.75,1098.86,1098.86,1124.35,1123.75,7623410,1132.71
, 2004/02/17,1127.1,1121.28,1132.71,1123.62,1127.1,1121.28,1132.71,1123.62,8815897,1136.53
, 2004/02/18,1123.7,1119.63,1136.53,1129.28,1123.7,1119.63,1136.53,1129.28,8093711,1138.08
, 2004/02/19,1130.4,1119.67,1138.08,1122.38,1130.4,1119.67,1138.08,1122.38,7130805,1125.37
, 2004/02/20,1122.93,1112.94,1125.37,1124.66,1122.93,1112.94,1125.37,1124.66,5988759,1129.52
, 2004/02/23,1126.23,1092.01,1129.52,1093.14,1126.23,1092.01,1129.52,1093.14,8802509,1095.94
, 2004/02/24,1090.25,1072.33,1095.94,1093.1,1090.25,1072.33,1095.94,1093.1,8449382,1104.35
, 2004/02/25,1094.43,1067.13,1104.35,1070.36,1094.43,1067.13,1104.35,1070.36,8064055,1080.23
, 2004/02/26,1068.13,1061.2,1080.23,1079.9,1068.13,1061.2,1080.23,1079.9,8100890,1090.89
, 2004/02/27,1081.71,1079.93,1090.89,1088.72,1081.71,1079.93,1090.89,1088.72,7293069,1095.23
, 2004/03/01,1089.65,1076.08,1095.23,1094.24,1089.65,1076.08,1095.23,1094.24,6441715,1099.71
, 2004/03/02,1096.1,1086.72,1099.71,1093.39,1096.1,1086.72,1099.71,1093.39,5577318,1093.74
, 2004/03/03,1093.36,1067.94,1093.74,1072.64,1093.36,1067.94,1093.74,1072.64,5214819,1079.27
, 2004/03/04,1070.9,1061.89,1079.27,1078.35,1070.9,1061.89,1079.27,1078.35,4810433,1083.14
, 2004/03/05,1080.34,1070.3,1083.14,1071.58,1080.34,1070.3,1083.14,1071.58,3365027,1075.75
, 2004/03/08,1070.11,1056.04,1075.75,1057.1,1070.11,1056.04,1075.75,1057.1,4599849,1075.22
, 2004/03/09,1057.36,1056.88,1075.22,1061.16,1057.36,1056.88,1075.22,1061.16,6918021,1091.35
, 2004/03/10,1062.98,1062.98,1091.35,1091.1,1062.98,1062.98,1091.35,1091.1,6113973,1102.22
, 2004/03/11,1092.74,1086.55,1102.22,1095.56,1092.74,1086.55,1102.22,1095.56,5761791,1102.13
, 2004/03/12,1096.35,1088.44,1102.13,1099.08,1096.35,1088.44,1102.13,1099.08,5236097,1134.28
, 2004/03/15,1100.4,1100.15,1134.28,1131.68,1100.4,1100.15,1134.28,1131.68,10252069,1139.49
, 2004/03/16,1136.27,1127.85,1139.49,1135.57,1136.27,1127.85,1139.49,1135.57,7329359,1139.28
, 2004/03/17,1136.45,1124.6,1139.28,1135.17,1136.45,1124.6,1139.28,1135.17,5489802,1141.81
